message;severity;node;stamp;location
"Already navigating to a frontier; ignoring new frontiers.";"10";"frontier_navigator";"1770426117.466448624";"/home/mayooran/Documents/iros/build/human_robot_pkg/human_robot_pkg/frontier_navigator.py:navigate_to_frontier:89"
"Already navigating to a frontier; ignoring new frontiers.";"10";"frontier_navigator";"1770426116.466596155";"/home/mayooran/Documents/iros/build/human_robot_pkg/human_robot_pkg/frontier_navigator.py:navigate_to_frontier:89"
"Sending navigation goal to x=-2.88, y=3.95";"20";"frontier_navigator";"1770426115.874971856";"/home/mayooran/Documents/iros/build/human_robot_pkg/human_robot_pkg/frontier_navigator.py:send_navigation_goal:148"
"Published selected frontier to /selected_frontier.";"20";"frontier_navigator";"1770426115.874158480";"/home/mayooran/Documents/iros/build/human_robot_pkg/human_robot_pkg/frontier_navigator.py:navigate_to_frontier:121"
"Selected cheapest non-blacklisted frontier as goal.";"10";"frontier_navigator";"1770426115.873785989";"/home/mayooran/Documents/iros/build/human_robot_pkg/human_robot_pkg/frontier_navigator.py:navigate_to_frontier:112"
"Blacklisting frontier at (-2.48, 3.45) because its goal was aborted/succeeded.";"30";"frontier_navigator";"1770426115.873500351";"/home/mayooran/Documents/iros/build/human_robot_pkg/human_robot_pkg/frontier_navigator.py:_blacklist_current_goal:238"
"_____________________________________________________________";"20";"frontier_navigator";"1770426115.873189446";"/home/mayooran/Documents/iros/build/human_robot_pkg/human_robot_pkg/frontier_navigator.py:result_callback:197"
"Navigation finished with status=ABORTED";"20";"frontier_navigator";"1770426115.872870656";"/home/mayooran/Documents/iros/build/human_robot_pkg/human_robot_pkg/frontier_navigator.py:result_callback:196"
"Sending navigation goal to x=-2.48, y=3.45";"20";"frontier_navigator";"1770426115.468130196";"/home/mayooran/Documents/iros/build/human_robot_pkg/human_robot_pkg/frontier_navigator.py:send_navigation_goal:148"
"Published selected frontier to /selected_frontier.";"20";"frontier_navigator";"1770426115.467260586";"/home/mayooran/Documents/iros/build/human_robot_pkg/human_robot_pkg/frontier_navigator.py:navigate_to_frontier:121"
"Selected cheapest non-blacklisted frontier as goal.";"10";"frontier_navigator";"1770426115.466713730";"/home/mayooran/Documents/iros/build/human_robot_pkg/human_robot_pkg/frontier_navigator.py:navigate_to_frontier:112"
"Sending navigation goal to x=-3.41, y=2.55";"20";"frontier_navigator";"1770426114.467880381";"/home/mayooran/Documents/iros/build/human_robot_pkg/human_robot_pkg/frontier_navigator.py:send_navigation_goal:148"
"Published selected frontier to /selected_frontier.";"20";"frontier_navigator";"1770426114.466898351";"/home/mayooran/Documents/iros/build/human_robot_pkg/human_robot_pkg/frontier_navigator.py:navigate_to_frontier:121"
"Selected cheapest non-blacklisted frontier as goal.";"10";"frontier_navigator";"1770426114.466366241";"/home/mayooran/Documents/iros/build/human_robot_pkg/human_robot_pkg/frontier_navigator.py:navigate_to_frontier:112"
