message;severity;node;stamp;location
"Begin navigating from current location (-2.25, -0.58) to (-0.84, -1.28)";"20";"robot_0.bt_navigator";"1771375463.837034933";"./src/navigators/navigate_to_pose.cpp:initializeGoalPose:213"
"Goal failed";"40";"robot_0.bt_navigator";"1771375457.390392733";"/opt/ros/humble/include/nav2_behavior_tree/bt_action_server_impl.hpp:executeCallback:269"
"[navigate_to_pose] [ActionServer] Aborting handle.";"30";"robot_0.bt_navigator";"1771375457.390043244";"/opt/ros/humble/include/nav2_util/simple_action_server.hpp:warn_msg:605"
"[follow_path] [ActionServer] Aborting handle.";"30";"robot_0.controller_server";"1771375457.315684581";"/opt/ros/humble/include/nav2_util/simple_action_server.hpp:warn_msg:605"
"Controller patience exceeded";"40";"robot_0.controller_server";"1771375457.315267549";"./src/controller_server.cpp:computeControl:422"
"Unable to transform robot pose into global plan's frame";"30";"robot_0.controller_server";"1771375457.314833280";"./src/controller_server.cpp:computeAndPublishVelocity:490"
"Unable to transform robot pose into global plan's frame";"30";"robot_0.controller_server";"1771375457.144173940";"./src/controller_server.cpp:computeAndPublishVelocity:490"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375457.143607947";"./src/controller_server.cpp:computeControl:416"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375456.112104963";"./src/controller_server.cpp:computeControl:416"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375455.538510270";"./src/controller_server.cpp:computeControl:416"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375454.771614497";"./src/controller_server.cpp:computeControl:416"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375454.226246997";"./src/controller_server.cpp:computeControl:416"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375453.459545680";"./src/controller_server.cpp:computeControl:416"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375452.956198113";"./src/controller_server.cpp:computeControl:416"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375452.711642016";"./src/controller_server.cpp:computeControl:416"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375452.105363848";"./src/controller_server.cpp:computeControl:416"
"[34m[1mCreating bond timer...[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375451.523243430";"./src/lifecycle_manager.cpp:message:504"
"[34m[1mManaged nodes are active[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375451.523211776";"./src/lifecycle_manager.cpp:message:504"
"Server velocity_smoother connected with bond.";"20";"robot_0.lifecycle_manager_navigation";"1771375451.523068634";"./src/lifecycle_manager.cpp:createBondConnection:205"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375451.357418335";"./src/controller_server.cpp:computeControl:416"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375450.918918745";"./src/controller_server.cpp:computeControl:416"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375450.676576047";"./src/controller_server.cpp:computeControl:416"
"[34m[1mActivating velocity_smoother[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375449.847241873";"./src/lifecycle_manager.cpp:message:504"
"Server waypoint_follower connected with bond.";"20";"robot_0.lifecycle_manager_navigation";"1771375449.847123106";"./src/lifecycle_manager.cpp:createBondConnection:205"
"Unable to transform robot pose into global plan's frame";"30";"robot_0.controller_server";"1771375449.834572713";"./src/controller_server.cpp:computeAndPublishVelocity:490"
"No goal checker was specified in parameter 'current_goal_checker'. Server will use only plugin loaded general_goal_checker . This warning will appear once.";"30";"robot_0.controller_server";"1771375449.833890574";"./src/controller_server.cpp:findGoalCheckerId:337"
"Received a goal, begin computing control effort.";"20";"robot_0.controller_server";"1771375449.833765882";"./src/controller_server.cpp:computeControl:361"
"Creating bond (waypoint_follower) to lifecycle manager.";"20";"robot_0.waypoint_follower";"1771375449.432099418";"./src/lifecycle_node.cpp:createBond:58"
"Activating";"20";"robot_0.waypoint_follower";"1771375449.432012593";"./src/waypoint_follower.cpp:on_activate:103"
"[34m[1mActivating waypoint_follower[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375449.431688365";"./src/lifecycle_manager.cpp:message:504"
"Server bt_navigator connected with bond.";"20";"robot_0.lifecycle_manager_navigation";"1771375449.431566351";"./src/lifecycle_manager.cpp:createBondConnection:205"
"Begin navigating from current location (0.00, 0.00) to (-0.84, -1.28)";"20";"robot_0.bt_navigator";"1771375448.056769751";"./src/navigators/navigate_to_pose.cpp:initializeGoalPose:213"
"Creating bond (bt_navigator) to lifecycle manager.";"20";"robot_0.bt_navigator";"1771375447.747900682";"./src/lifecycle_node.cpp:createBond:58"
"Activating";"20";"robot_0.bt_navigator";"1771375433.066111107";"./src/bt_navigator.cpp:on_activate:155"
"[34m[1mActivating bt_navigator[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375433.042227796";"./src/lifecycle_manager.cpp:message:504"
"Server behavior_server connected with bond.";"20";"robot_0.lifecycle_manager_navigation";"1771375433.042104847";"./src/lifecycle_manager.cpp:createBondConnection:205"
"Creating bond (behavior_server) to lifecycle manager.";"20";"robot_0.behavior_server";"1771375432.630083602";"./src/lifecycle_node.cpp:createBond:58"
"Activating wait";"20";"robot_0.behavior_server";"1771375432.630044483";"./include/nav2_behaviors/timed_behavior.hpp:activate:146"
"Activating assisted_teleop";"20";"robot_0.behavior_server";"1771375432.630012000";"./include/nav2_behaviors/timed_behavior.hpp:activate:146"
"Activating drive_on_heading";"20";"robot_0.behavior_server";"1771375432.629986166";"./include/nav2_behaviors/timed_behavior.hpp:activate:146"
"Activating backup";"20";"robot_0.behavior_server";"1771375432.629965208";"./include/nav2_behaviors/timed_behavior.hpp:activate:146"
"Activating spin";"20";"robot_0.behavior_server";"1771375432.629920377";"./include/nav2_behaviors/timed_behavior.hpp:activate:146"
"Activating";"20";"robot_0.behavior_server";"1771375432.629809770";"./src/behavior_server.cpp:on_activate:130"
"[34m[1mActivating behavior_server[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375432.614767002";"./src/lifecycle_manager.cpp:message:504"
"Server planner_server connected with bond.";"20";"robot_0.lifecycle_manager_navigation";"1771375432.614640463";"./src/lifecycle_manager.cpp:createBondConnection:205"
"Creating bond (planner_server) to lifecycle manager.";"20";"robot_0.planner_server";"1771375431.627872628";"./src/lifecycle_node.cpp:createBond:58"
"Activating plugin GridBased of type NavfnPlanner";"20";"robot_0.planner_server";"1771375431.485886952";"./src/navfn_planner.cpp:activate:103"
"Activating";"20";"robot_0.planner_server";"1771375430.274534324";"./src/planner_server.cpp:on_activate:171"
"[34m[1mActivating planner_server[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375430.080973674";"./src/lifecycle_manager.cpp:message:504"
