date_time,interface,rx_kbps,tx_kbps
2025-11-22_06:17:38 PM,wls4,5.12,58.48
2025-11-22_06:17:39 PM,wls4,1.28,0.64
2025-11-22_06:17:40 PM,wls4,0,0
2025-11-22_06:17:41 PM,wls4,4.08,25.84
2025-11-22_06:17:42 PM,wls4,4.32,94.96
2025-11-22_06:17:43 PM,wls4,0,0
2025-11-22_06:17:44 PM,wls4,63.68,140.72
2025-11-22_06:17:45 PM,wls4,3.84,59.36
2025-11-22_06:17:46 PM,wls4,0,0
2025-11-22_06:17:47 PM,wls4,6.24,27.6
2025-11-22_06:17:48 PM,wls4,3.28,59.12
2025-11-22_06:17:49 PM,wls4,85.44,751.84
2025-11-22_06:17:50 PM,wls4,9.84,28.8
2025-11-22_06:17:51 PM,wls4,2.72,58.24
2025-11-22_06:17:52 PM,wls4,0.32,0.48
2025-11-22_06:17:53 PM,wls4,4.08,26.64
2025-11-22_06:17:54 PM,wls4,2.8,40.08
2025-11-22_06:17:55 PM,wls4,0,0
2025-11-22_06:17:56 PM,wls4,7.68,84.24
2025-11-22_06:17:57 PM,wls4,0,0
2025-11-22_06:17:58 PM,wls4,0,0
2025-11-22_06:17:59 PM,wls4,8.08,85.2
2025-11-22_06:18:00 PM,wls4,0,0
2025-11-22_06:18:01 PM,wls4,0.48,0.64
2025-11-22_06:18:02 PM,wls4,6.4,83.36
2025-11-22_06:18:03 PM,wls4,2,2.48
2025-11-22_06:18:04 PM,wls4,4,3.6
2025-11-22_06:18:05 PM,wls4,10,87.68
2025-11-22_06:18:06 PM,wls4,0,0
2025-11-22_06:18:07 PM,wls4,0,0
2025-11-22_06:18:08 PM,wls4,8,86.88
2025-11-22_06:18:09 PM,wls4,543.04,60.48
2025-11-22_06:18:10 PM,wls4,0,0
2025-11-22_06:18:11 PM,wls4,7.36,83.6
2025-11-22_06:18:12 PM,wls4,0,0
